(86.60254037844388,-49.99999999999999)
(80.82903768654761,-46.66666666666666)
(75.05553499465135,-43.33333333333333)
(69.2820323027551,-39.99999999999999)
(63.50852961085884,-36.66666666666666)
(57.735026918962575,-33.33333333333332)
(51.96152422706632,-29.999999999999996)
(46.18802153517006,-26.66666666666666)
(40.414518843273804,-23.33333333333333)
(34.64101615137755,-19.999999999999996)
(28.867513459481287,-16.66666666666666)
(23.094010767585026,-13.333333333333327)
(17.320508075688775,-9.999999999999998)
(11.547005383792513,-6.666666666666663)
(5.77350269189625,-3.333333333333328)
(-0.0,0.0)
(-5.773502691896262,3.3333333333333353)
(-11.547005383792524,6.6666666666666705)
(-17.320508075688775,9.999999999999998)
(-23.094010767585036,13.333333333333334)
(-28.867513459481298,16.666666666666668)
(-34.64101615137755,19.999999999999996)
(-40.414518843273825,23.33333333333334)
(-46.18802153517007,26.666666666666668)
(-51.96152422706632,29.999999999999996)
(-57.735026918962596,33.333333333333336)
(-63.508529610858844,36.666666666666664)
(-69.2820323027551,39.99999999999999)
(-75.05553499465137,43.333333333333336)
(-80.82903768654762,46.666666666666664)
(-86.60254037844388,49.99999999999999)
